ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
175,D Heyliger (CAN),2019-2019,11,11, 42.00 ,0,306,19,16-Apr,16.1,7.28,13.2,2,0
176,DJ Hussey (AUS),2008-2012,39,25, 60.10 ,1,392,19,25-Mar,20.63,6.51,19,0,0
177,ST Jayasuriya (SL),2006-2011,31,24, 61.50 ,0,456,19,21-Mar,24,7.37,19.5,0,0
178,JDP Oram (NZ),2005-2012,36,32, 91.00 ,0,793,19,Mar-33,41.73,8.71,28.7,0,0
179,N Pokana (PNG),2016-2019,19,18, 56.50 ,2,328,19,21-Mar,17.26,5.77,17.9,0,0
180,Shoaib Akhtar (PAK),2006-2010,15,15, 53.00 ,3,432,19,Mar-38,22.73,8.15,16.7,0,0
181,Tanwir Afzal (HKG),2014-2016,21,21, 71.00 ,2,509,19,8-Feb,26.78,7.16,22.4,0,0
182,JM Anderson (ENG),2007-2009,19,19, 70.20 ,1,552,18,23-Mar,30.66,7.84,23.4,0,0
183,SJ Benn (WI),2008-2016,24,24, 84.00 ,3,606,18,6-Apr,33.66,7.21,28,1,0
184,PW Borren (NL),2008-2017,43,30, 87.40 ,0,603,18,19-Feb,33.5,6.87,29.2,0,0
185,Fareed Ahmad (AFG),2016-2019,14,14, 47.50 ,0,405,18,Mar-35,22.5,8.46,15.9,0,0
186,CRD Fernando (SL),2006-2016,18,18, 63.00 ,3,464,18,19-Mar,25.77,7.36,21,0,0
187,Hamza Tahir (SCOT),2018-2019,11,11, 43.00 ,1,352,18,30-Apr,19.55,8.18,14.3,1,0
188,BE Hendricks (SA),2014-2019,11,11, 38.10 ,0,317,18,14-Apr,17.61,8.3,12.7,1,0
189,HMRKB Herath (SL),2011-2016,17,17, 60.50 ,3,373,18,3-May,20.72,6.13,20.2,0,1
190,Izatullah Dawlatzai (AFG/GER),2012-2019,14,14, 50.40 ,0,345,18,23-Mar,19.16,6.8,16.8,0,0
191,MA Leask (SCOT),2013-2019,31,22, 59.30 ,0,499,18,20-Mar,27.72,8.38,19.8,0,0
192,Nouman Sarwar (QAT),2019-2019,14,13, 34.50 ,1,267,18,14-Apr,14.83,7.66,11.6,1,0
193,K Santokie (WI),2011-2014,12,12, 40.50 ,0,278,18,21-Apr,15.44,6.8,13.6,1,0
194,SB Styris (NZ),2005-2010,31,21, 51.30 ,0,349,18,5-Mar,19.38,6.77,17.1,0,0
195,SR Thompson (IRE),2014-2019,41,30, 79.00 ,0,670,18,18-Apr,37.22,8.48,26.3,1,0
196,LL Tsotsobe (SA),2009-2014,23,23, 78.00 ,2,541,18,16-Mar,30.05,6.93,26,0,0
197,HA Varaiya (KENYA),2007-2013,25,24, 77.20 ,2,461,18,10-Feb,25.61,5.96,25.7,0,0
198,LJ Wright (ENG),2007-2014,51,23, 55.00 ,0,465,18,24-Feb,25.83,8.45,18.3,0,0
199,Zeeshan Maqsood (OMAN),2015-2019,29,19, 62.00 ,0,416,18,7-Apr,23.11,6.7,20.6,1,0
200,AC Agar (AUS),2016-2019,21,21, 67.00 ,1,464,17,27-Mar,27.29,6.92,23.6,0,0
201,DL Chahar (INDIA),2018-2019,10,10, 35.50 ,1,251,17,7-Jun,14.76,7,12.6,0,1
202,AB Dinda (INDIA),2009-2012,9,9, 30.00 ,1,245,17,19-Apr,14.41,8.16,10.5,1,0
203,CH Gayle (WI),2006-2019,58,23, 53.10 ,0,377,17,15-Feb,22.17,7.09,18.7,0,0
204,Z Khan (INDIA),2006-2012,17,17, 58.40 ,0,448,17,19-Apr,26.35,7.63,20.7,1,0
205,CK Langeveldt (SA),2005-2010,9,9, 33.00 ,0,241,17,19-Apr,14.17,7.3,11.6,1,0
206,R McLaren (SA),2009-2014,12,12, 43.50 ,0,332,17,19-May,19.52,7.57,15.4,0,1
207,EJB Miles (JER),2019-2019,14,14, 40.00 ,0,266,17,10-Mar,15.64,6.65,14.1,0,0
208,KW Richardson (AUS),2014-2019,15,15, 56.00 ,0,447,17,18-Mar,26.29,7.98,19.7,0,0
209,Saad Bin Zafar (CAN),2019-2019,11,11, 43.00 ,2,285,17,8-Mar,16.76,6.62,15.1,0,0
210,SPD Smith (AUS),2010-2019,36,17, 48.30 ,1,377,17,20-Mar,22.17,7.77,17.1,0,0
211,A Bohara (NEPAL),2019-2019,17,16, 54.00 ,0,350,16,Apr-35,21.87,6.48,20.2,1,0
212,RS Bopara (ENG),2008-2014,38,21, 53.40 ,1,387,16,10-Apr,24.18,7.21,20.1,1,0
213,PVD Chameera (SL),2015-2018,19,19, 67.10 ,0,574,16,30-Mar,35.87,8.54,25.1,0,0
214,E Chigumbura (ZIM),2006-2019,54,21, 46.00 ,0,427,16,Apr-31,26.68,9.28,17.2,1,0
215,PD Collingwood (ENG/World),2005-2017,36,20, 39.00 ,0,347,16,22-Apr,21.68,8.89,14.6,1,0
216,TK Curran (ENG),2017-2019,15,15, 48.00 ,1,418,16,Apr-36,26.12,8.7,18,1,0
217,GJ Delany (IRE),2019-2019,17,17, 53.00 ,1,391,16,23-Feb,24.43,7.37,19.8,0,0
218,GD Drummond (SCOT),2008-2013,17,17, 55.00 ,1,381,16,20-Mar,23.81,6.92,20.6,0,0
219,FH Edwards (WI),2007-2012,20,20, 60.00 ,0,497,16,23-Mar,31.06,8.28,22.5,0,0
220,Gulbadin Naib (AFG),2012-2019,45,28, 68.00 ,0,560,16,24-Feb,35,8.23,25.5,0,0
221,A Mishra (INDIA),2010-2017,10,10, 38.00 ,1,240,16,24-Mar,15,6.31,14.2,0,0
222,Mohammad Irfan (PAK),2012-2019,22,22, 75.30 ,0,562,16,18-Feb,35.12,7.44,28.3,0,0
223,NN Odhiambo (KENYA),2007-2013,24,21, 56.10 ,1,468,16,20-May,29.25,8.33,21,0,1
224,JS Patel (NZ),2005-2008,11,10, 33.10 ,1,269,16,20-Mar,16.81,8.11,12.4,0,0
