ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
999,H Dajc (Serb),2019-2019,2,1, 4.00 ,0,36,1,Jan-36,36,9,24,0,0
1000,H Davids (SA),2012-2013,9,2, 2.00 ,0,13,1,6-Jan,13,6.5,12,0,0
1001,PA Desai (CAN),2012-2012,1,1, 3.00 ,0,30,1,30-Jan,30,10,18,0,0
1002,R Dhawan (INDIA),2016-2016,1,1, 4.00 ,0,42,1,Jan-42,42,10.5,24,0,0
1003,M Dixit (LUX),2019-2019,3,3, 9.00 ,0,93,1,Jan-51,93,10.33,54,0,0
1004,KR Ebanks (Caym),2019-2019,5,5, 11.00 ,0,104,1,25-Jan,104,9.45,66,0,0
1005,Faisal Khan (Saudi),2019-2019,4,1, 2.00 ,0,21,1,21-Jan,21,10.5,12,0,0
1006,Fayyaz Ahmed (UAE),2015-2015,1,1, 3.00 ,0,29,1,29-Jan,29,9.66,18,0,0
1007,Fiaz Ahmad (KUW),2019-2019,3,3, 5.00 ,0,56,1,13-Jan,56,11.2,30,0,0
1008,KK Flowers (Blz),2019-2019,3,1, 2.00 ,0,16,1,16-Jan,16,8,12,0,0
1009,C Floyd (NL),2019-2019,2,2, 5.00 ,0,51,1,14-Jan,51,10.2,30,0,0
1010,C Fry (LUX),2019-2019,3,3, 7.00 ,1,62,1,3-Jan,62,8.85,42,0,0
1011,MD Garratt (GIBR),2019-2019,4,1, 2.50 ,0,12,1,12-Jan,12,4.23,17,0,0
1012,JN Gillespie (AUS),2005-2005,1,1, 4.00 ,0,49,1,Jan-49,49,12.25,24,0,0
1013,NA Greenwood (JER),2019-2019,8,2, 2.00 ,0,14,1,4-Jan,14,7,12,0,0
1014,L Gregory (ENG),2019-2019,5,2, 4.00 ,0,29,1,10-Jan,29,7.25,24,0,0
1015,Hardev Singh (Chile),2019-2019,3,1, 1.00 ,0,12,1,12-Jan,12,12,6,0,0
1016,SJ Harmison (ENG),2005-2006,2,2, 6.30 ,0,42,1,13-Jan,42,6.46,39,0,0
1017,Haroon Arshad (HKG),2019-2019,10,8, 13.50 ,0,108,1,4-Jan,108,7.8,83,0,0
1018,Haroon Mughal (MALTA),2019-2019,4,2, 3.00 ,0,31,1,17-Jan,31,10.33,18,0,0
1019,TM Head (AUS),2016-2018,16,3, 4.00 ,0,39,1,16-Jan,39,9.75,24,0,0
1020,R Hekure (PNG),2019-2019,8,6, 4.50 ,0,37,1,6-Jan,37,7.65,29,0,0
1021,BJ Hodge (AUS),2007-2014,15,3, 5.00 ,0,43,1,13-Jan,43,8.6,30,0,0
1022,S Hongsi (THAI),2019-2019,3,2, 3.00 ,0,35,1,15-Jan,35,11.66,18,0,0
1023,A Husain (Arg),2019-2019,5,4, 10.00 ,0,51,1,6-Jan,51,5.1,60,0,0
1024,GM Hyde (Blz),2019-2019,3,2, 5.00 ,0,43,1,14-Jan,43,8.6,30,0,0
1025,Ibrahim Rizan (Mald),2019-2019,5,4, 8.10 ,0,63,1,22-Jan,63,7.71,49,0,0
1026,Iftikhar Anjum (PAK),2007-2009,2,2, 8.00 ,0,67,1,Jan-34,67,8.37,48,0,0
1027,AJ Ireland (ZIM),2006-2006,1,1, 3.00 ,0,33,1,Jan-33,33,11,18,0,0
1028,Irfan Mir (Chile),2019-2019,4,4, 15.00 ,0,73,1,26-Jan,73,4.86,90,0,0
1029,E Isaneez (UGA),2019-2019,3,3, 9.20 ,0,53,1,16-Jan,53,5.67,56,0,0
1030,Ismat Ullah (),2019-2019,4,2, 4.00 ,0,16,1,9-Jan,16,4,24,0,0
1031,Jaspreet Singh (ITA),2019-2019,5,2, 5.00 ,0,53,1,26-Jan,53,10.6,30,0,0
1032,D Kansonkho (MWI),2019-2019,7,3, 7.30 ,0,60,1,15-Jan,60,8,45,0,0
1033,A Karn (NEPAL),2015-2015,2,2, 8.00 ,0,49,1,31-Jan,49,6.12,48,0,0
1034,N Khanna (MALTA),2019-2019,2,2, 4.00 ,0,47,1,26-Jan,47,11.75,24,0,0
1035,B Khumalo (Botsw),2019-2019,3,3, 11.00 ,0,96,1,23-Jan,96,8.72,66,0,0
1036,Khurram Chohan (CAN),2010-2010,4,4, 12.10 ,0,106,1,24-Jan,106,8.71,73,0,0
1037,Khurram Khan (UAE),2014-2014,3,1, 1.00 ,0,8,1,8-Jan,8,8,6,0,0
1038,JH Kiani (PHI),2019-2019,4,1, 4.00 ,0,26,1,26-Jan,26,6.5,24,0,0
1039,H Lakov (),2019-2019,3,3, 12.00 ,1,72,1,23-Jan,72,6,72,0,0
1040,CA Liyanage (Mald),2019-2019,2,2, 5.00 ,0,47,1,Jan-33,47,9.4,30,0,0
1041,J Long (PHI),2019-2019,2,1, 2.00 ,0,26,1,26-Jan,26,13,12,0,0
1042,NM Lyon (AUS),2016-2018,2,2, 5.00 ,0,48,1,Jan-33,48,9.6,30,0,0
1043,RT Lyons (SCOT),2010-2010,2,2, 6.00 ,0,40,1,26-Jan,40,6.66,36,0,0
1044,OC McCoy (WI),2019-2019,2,1, 3.00 ,0,44,1,Jan-44,44,14.66,18,0,0
1045,Mahmad Data (PNM),2019-2019,2,2, 5.00 ,0,31,1,15-Jan,31,6.2,30,0,0
1046,A Makesh (KUW),2019-2019,4,4, 9.00 ,1,79,1,19-Jan,79,8.77,54,0,0
1047,DJ Malan (ENG),2017-2019,9,1, 2.00 ,0,27,1,27-Jan,27,13.5,12,0,0
1048,WJ Malinda (Mald),2019-2019,3,1, 4.00 ,0,27,1,27-Jan,27,6.75,24,0,0
1049,OM Marshall (Peru),2019-2019,3,2, 3.00 ,0,22,1,10-Jan,22,7.33,18,0,0
1050,A Martin (WI),2011-2011,1,1, 3.00 ,0,20,1,20-Jan,20,6.66,18,0,0
1051,T Maruma (ZIM),2008-2019,13,2, 3.00 ,0,20,1,8-Jan,20,6.66,18,0,0
1052,WT Mashinge (ZIM),2019-2019,2,2, 5.00 ,0,57,1,Jan-37,57,11.4,30,0,0
1053,N Master (Botsw),2019-2019,2,1, 4.00 ,0,30,1,30-Jan,30,7.5,24,0,0
1054,Md Shafiqul Haque (THAI),2019-2019,4,1, 3.00 ,0,25,1,25-Jan,25,8.33,18,0,0
1055,DP Michael (Samoa),2019-2019,4,1, 3.00 ,0,32,1,Jan-32,32,10.66,18,0,0
1056,SF Mire (ZIM),2018-2019,9,5, 12.00 ,0,115,1,15-Jan,115,9.58,72,0,0
1057,Mohammad Boota (UAE),2019-2019,16,1, 1.00 ,0,13,1,13-Jan,13,13,6,0,0
1058,Mohammad Rafique (BDESH),2006-2006,1,1, 4.00 ,0,22,1,22-Jan,22,5.5,24,0,0
1059,Mohammad Shahid (BDESH),2016-2016,1,1, 3.00 ,0,32,1,Jan-32,32,10.66,18,0,0
1060,MR Montfort (CAN),2019-2019,1,1, 3.00 ,0,25,1,25-Jan,25,8.33,18,0,0
1061,J Mubarak (SL),2007-2009,16,2, 1.20 ,0,17,1,9-Jan,17,12.75,8,0,0
1062,Muhammad Tanveer (QAT),2019-2019,15,3, 8.00 ,0,63,1,29-Jan,63,7.87,48,0,0
1063,D Muhumuza (UGA),2019-2019,4,3, 5.00 ,0,35,1,15-Jan,35,7,30,0,0
1064,EMDY Munaweera (SL),2012-2017,13,5, 10.00 ,0,92,1,26-Jan,92,9.2,60,0,0
1065,T Mupariwa (ZIM),2007-2008,4,4, 13.00 ,0,94,1,22-Jan,94,7.23,78,0,0
1066,Murid Ekrami (Belg),2019-2019,3,3, 5.00 ,0,37,1,10-Jan,37,7.4,30,0,0
1067,Najeeb Amar (HKG),2014-2014,1,1, 3.00 ,0,29,1,29-Jan,29,9.66,18,0,0
1068,NH Naureen (ESP),2019-2019,1,1, 3.00 ,1,32,1,Jan-32,32,10.66,18,0,0
1069,Naveed Ahmed (CZK-R),2019-2019,7,5, 9.00 ,0,56,1,15-Jan,56,6.22,54,0,0
1070,Nazakat Ali (NOR),2019-2019,2,2, 3.00 ,0,16,1,6-Jan,16,5.33,18,0,0
1071,Nazmul Hossain (BDESH),2009-2012,4,4, 7.00 ,0,67,1,15-Jan,67,9.57,42,0,0
1072,A Ndlovu (ZIM),2019-2019,3,3, 11.00 ,0,90,1,Jan-35,90,8.18,66,0,0
1073,R Neale (LUX),2019-2019,3,1, 3.00 ,0,30,1,30-Jan,30,10,18,0,0
1074,P Negi (INDIA),2016-2016,1,1, 3.00 ,0,16,1,16-Jan,16,5.33,18,0,0
1075,D Nikolov (),2019-2019,3,2, 4.00 ,0,36,1,22-Jan,36,9,24,0,0
1076,K Nima (BHU),2019-2019,1,1, 3.00 ,0,22,1,22-Jan,22,7.33,18,0,0
1077,Noman Kamawi (Belg),2019-2019,1,1, 3.00 ,0,28,1,28-Jan,28,9.33,18,0,0
1078,L Nou (PNG),2015-2015,3,3, 10.00 ,0,65,1,24-Jan,65,6.5,60,0,0
1079,E Ochieng (KENYA),2019-2019,2,2, 4.00 ,0,30,1,18-Jan,30,7.5,24,0,0
1080,JL Ontong (SA),2008-2015,14,4, 6.00 ,0,83,1,25-Jan,83,13.83,36,0,0
1081,AM Oyede (NGA),2019-2019,8,3, 8.00 ,0,44,1,14-Jan,44,5.5,48,0,0
1082,RJG Palmer (JER),2019-2019,2,2, 4.00 ,0,27,1,10-Jan,27,6.75,24,0,0
1083,MA Parker (SCOT),2012-2012,2,2, 6.00 ,0,61,1,Jan-36,61,10.16,36,0,0
1084,Parvez Rasool (INDIA),2017-2017,1,1, 4.00 ,0,32,1,Jan-32,32,8,24,0,0
1085,AY Patel (NZ),2018-2018,2,2, 6.00 ,0,45,1,27-Jan,45,7.5,36,0,0
1086,KP Pietersen (ENG),2005-2013,37,3, 5.00 ,0,53,1,27-Jan,53,10.6,30,0,0
1087,JE Pitcher (BMUDA),2019-2019,3,3, 7.00 ,0,50,1,26-Jan,50,7.14,42,0,0
1088,S Pokhriyal (CZK-R),2019-2019,5,1, 2.00 ,0,22,1,22-Jan,22,11,12,0,0
1089,M Pushpakumara (SL),2009-2009,1,1, 3.00 ,0,27,1,27-Jan,27,9,18,0,0
1090,Qasim Zia (BAH),2019-2019,3,3, 9.00 ,0,68,1,17-Jan,68,7.55,54,0,0
1091,Raag Kapur (HKG),2019-2019,4,3, 7.00 ,0,49,1,26-Jan,49,7,42,0,0
1092,RLB Rambukwella (SL),2013-2016,2,2, 6.30 ,0,46,1,19-Jan,46,7.07,39,0,0
1093,Ravinder Singh (MALTA),2019-2019,2,2, 6.00 ,0,72,1,Jan-36,72,12,36,0,0
1094,J Reb (Serb),2019-2019,2,1, 3.00 ,0,40,1,Jan-40,40,13.33,18,0,0
1095,GA Reynold (Blz),2019-2019,3,3, 8.00 ,1,49,1,17-Jan,49,6.12,48,0,0
1096,Riazat Ali Shah (UGA),2019-2019,4,3, 7.40 ,0,58,1,20-Jan,58,7.56,46,0,0
1097,R Rivas (Chile),2019-2019,3,1, 4.00 ,0,45,1,Jan-45,45,11.25,24,0,0
1098,Saber Zakhil (Belg),2019-2019,3,3, 9.00 ,0,69,1,23-Jan,69,7.66,54,0,0
1099,S Saeed (Mald),2019-2019,5,5, 11.00 ,0,95,1,24-Jan,95,8.63,66,0,0
1100,AM Samad (CAN),2008-2010,7,1, 2.00 ,0,36,1,Jan-36,36,18,12,0,0
1101,Sandeep Sharma (INDIA),2015-2015,2,2, 7.00 ,0,73,1,Jan-39,73,10.42,42,0,0
1102,I Sawmy (DEN),2019-2019,2,1, 3.00 ,0,12,1,12-Jan,12,4,18,0,0
1103,Shahzad Muhammad (Mex),2019-2019,2,1, 3.00 ,0,29,1,29-Jan,29,9.66,18,0,0
1104,Shaikh Ashraf (Peru),2019-2019,4,2, 4.00 ,0,34,1,18-Jan,34,8.5,24,0,0
1105,KV Sharma (INDIA),2014-2014,1,1, 4.00 ,0,28,1,28-Jan,28,7,24,0,0
1106,RG Sharma (INDIA),2007-2019,104,9, 11.20 ,0,113,1,22-Jan,113,9.97,68,0,0
1107,ZK Shem (VAN),2019-2019,5,3, 6.00 ,0,72,1,Jan-36,72,12,36,0,0
1108,LPC Silva (SL),2006-2011,16,2, 3.00 ,0,15,1,4-Jan,15,5,18,0,0
1109,BA Simango (Moz),2019-2019,2,1, 3.00 ,0,21,1,21-Jan,21,7,18,0,0
1110,T Singye (BHU),2019-2019,2,2, 6.00 ,0,65,1,Jan-53,65,10.83,36,0,0
1111,J Singye (BHU),2019-2019,2,2, 8.00 ,0,69,1,28-Jan,69,8.62,48,0,0
1112,JT Smuts (SA),2017-2018,8,6, 12.40 ,0,101,1,19-Jan,101,7.97,76,0,0
1113,Sufyan Mehmood (OMAN),2015-2019,3,3, 5.30 ,0,39,1,22-Jan,39,7.09,33,0,0
1114,Suhrid Roy (MALTA),2019-2019,1,1, 4.00 ,0,44,1,Jan-44,44,11,24,0,0
1115,CR Suryawanshi (SGP),2019-2019,3,1, 2.00 ,0,13,1,13-Jan,13,6.5,12,0,0
1116,Tafseer Ali (NOR),2019-2019,5,3, 4.00 ,0,37,1,17-Jan,37,9.25,24,0,0
1117,Taijul Islam (BDESH),2019-2019,2,2, 7.00 ,0,58,1,26-Jan,58,8.28,42,0,0
1118,Tanvir Ahmed (PAK),2010-2010,1,1, 3.00 ,0,13,1,13-Jan,13,4.33,18,0,0
1119,BRM Taylor (ZIM),2006-2019,38,2, 5.00 ,0,17,1,16-Jan,17,3.4,30,0,0
1120,SR Tendulkar (INDIA),2006-2006,1,1, 2.30 ,0,12,1,12-Jan,12,4.8,15,0,0
1121,EP Thompson (NZ),2008-2008,1,1, 3.00 ,1,18,1,18-Jan,18,6,18,0,0
1122,GC Tonge (WI),2009-2009,1,1, 4.00 ,0,25,1,25-Jan,25,6.25,24,0,0
1123,JJ Tucker (BMUDA),2019-2019,5,4, 7.00 ,0,62,1,16-Jan,62,8.85,42,0,0
1124,Umair Ali (UAE),2015-2015,3,2, 4.00 ,0,28,1,13-Jan,28,7,24,0,0
1125,DLS van Bunge (NL),2008-2013,14,2, 2.20 ,0,15,1,14-Jan,15,6.42,14,0,0
1126,C Vorster (GUE),2019-2019,1,1, 3.00 ,0,32,1,Jan-32,32,10.66,18,0,0
1127,Walid Ghauri (NOR),2019-2019,4,2, 3.50 ,0,31,1,16-Jan,31,8.08,23,0,0
1128,Washeem Abbas (MALTA),2019-2019,2,2, 8.00 ,0,70,1,31-Jan,70,8.75,48,0,0
1129,UWMBCA Welegedara (SL),2010-2010,2,2, 6.00 ,0,61,1,21-Jan,61,10.16,36,0,0
1130,CL White (AUS),2007-2014,47,5, 7.00 ,0,51,1,11-Jan,51,7.28,42,0,0
1131,T Whiteman (LUX),2019-2019,4,2, 3.40 ,0,38,1,24-Jan,38,10.36,22,0,0
1132,JD Wildermuth (AUS),2018-2018,2,2, 3.00 ,0,32,1,16-Jan,32,10.66,18,0,0
1133,LJ Woodcock (NZ),2010-2011,3,3, 10.00 ,0,70,1,30-Jan,70,7,60,0,0
1134,GH Worker (NZ),2015-2015,2,1, 2.00 ,0,19,1,19-Jan,19,9.5,12,0,0
1135,Yusuf Ebrahim (PNM),2019-2019,3,3, 7.00 ,1,44,1,13-Jan,44,6.28,42,0,0
1136,Zaheer Maqsood (UAE),2015-2016,3,3, 9.00 ,0,80,1,29-Jan,80,8.88,54,0,0
1137,Zamir Khan (AFG),2012-2012,1,1, 4.00 ,0,26,1,26-Jan,26,6.5,24,0,0
1138,Zawar Farid (UAE),2019-2019,4,2, 4.10 ,0,35,1,Jan-34,35,8.4,25,0,0
1139,C Zhuwao (ZIM),2008-2018,7,1, 0.20 ,0,1,1,1-Jan,1,3,2,0,0
1140,Zohaib Sarwar (PORT),2019-2019,4,4, 7.00 ,0,51,1,8-Jan,51,7.28,42,0,0
1141,M Zondeki (SA),2006-2006,1,1, 3.00 ,0,41,1,Jan-41,41,13.66,18,0,0
1142,Abdullah Mahmood (DEN),2019-2019,1,1, 1.00 ,0,9,0,0,0,9,0,0,0
1143,Abdullah Sheikh (NOR),2019-2019,2,1, 1.00 ,0,13,0,0,0,13,0,0,0
1144,Abdur Rauf (PAK),2008-2008,1,1, 3.00 ,0,21,0,0,0,7,0,0,0
1145,M Aboagye (Ghana),2019-2019,3,1, 1.00 ,0,17,0,0,0,17,0,0,0
1146,RA Abolarin (NGA),2019-2019,1,1, 0.40 ,0,7,0,0,0,10.5,0,0,0
1147,S Adedeji (NGA),2019-2019,6,1, 2.00 ,0,21,0,0,0,10.5,0,0,0
1148,Aftab Ahmed (BDESH),2006-2010,11,1, 0.20 ,0,8,0,0,0,24,0,0,0
1149,GJ Agius (MALTA),2019-2019,2,2, 5.00 ,0,53,0,0,0,10.6,0,0,0
1150,Ahmed Shehzad (PAK),2009-2019,59,1, 1.00 ,0,10,0,0,0,10,0,0,0
1151,DS Airee (NEPAL),2018-2019,18,1, 2.00 ,0,23,0,0,0,11.5,0,0,0
1152,Ameer Saiyed (Botsw),2019-2019,4,3, 4.00 ,0,44,0,0,0,11,0,0,0
1153,Ammad Uddin (BAH),2019-2019,4,1, 0.10 ,0,1,0,0,0,6,0,0,0
1154,Anasim Khan (BAH),2019-2019,4,4, 14.00 ,0,119,0,0,0,8.5,0,0,0
1155,J Anderson (IRE),2015-2015,4,1, 1.00 ,0,13,0,0,0,13,0,0,0
1156,DK Anefie (Ghana),2019-2019,4,4, 12.00 ,0,72,0,0,0,6,0,0,0
1157,Anowarul Islam (THAI),2019-2019,4,2, 3.00 ,0,25,0,0,0,8.33,0,0,0
1158,Ansar Iqbal (NOR),2019-2019,4,1, 2.00 ,0,13,0,0,0,6.5,0,0,0
1159,Aqib Iqbal (Aut),2019-2019,5,4, 13.00 ,0,84,0,0,0,6.46,0,0,0
1160,Arsalan Qadir (CAN),2010-2010,1,1, 1.00 ,0,12,0,0,0,12,0,0,0
1161,U Aryaman Sunil (SGP),2019-2019,2,2, 3.00 ,0,28,0,0,0,9.33,0,0,0
1162,Asad Ali (PAK),2013-2013,2,2, 4.00 ,0,33,0,0,0,8.25,0,0,0
1163,A Ashokan (CZK-R),2019-2019,2,1, 2.00 ,0,16,0,0,0,8,0,0,0
1164,Atif Ali Khan (UAE),2016-2016,1,1, 4.00 ,0,43,0,0,0,10.75,0,0,0
1165,Avi Dixit (SGP),2019-2019,1,1, 1.00 ,0,15,0,0,0,15,0,0,0
1166,P Awana (INDIA),2012-2012,2,2, 6.00 ,0,71,0,0,0,11.83,0,0,0
1167,KS Bagabena (Ghana),2019-2019,4,4, 4.50 ,0,56,0,0,0,11.58,0,0,0
1168,KMC Bandara (SL),2016-2016,1,1, 1.00 ,0,11,0,0,0,11,0,0,0
1169,GEF Barnett (CAN),2008-2010,5,1, 1.00 ,0,11,0,0,0,11,0,0,0
1170,GJ Batty (ENG),2009-2009,1,1, 3.00 ,0,17,0,0,0,5.66,0,0,0
1171,DE Bernard (WI),2009-2009,1,1, 4.00 ,0,17,0,0,0,4.25,0,0,0
1172,P Bharat Patel (PNM),2019-2019,2,2, 5.00 ,0,40,0,0,0,8,0,0,0
1173,Meet Bhavsar (KUW),2019-2019,9,1, 1.00 ,0,11,0,0,0,11,0,0,0
1174,RL Bhudia (KENYA),2007-2007,3,3, 7.20 ,0,78,0,0,0,10.63,0,0,0
1175,KK Bishnoi (),2019-2019,3,2, 3.00 ,0,27,0,0,0,9,0,0,0
1176,NE Bonner (WI),2011-2012,2,1, 2.00 ,0,18,0,0,0,9,0,0,0
1177,IDR Bradshaw (WI),2006-2006,1,1, 4.00 ,0,22,0,0,0,5.5,0,0,0
1178,DR Brown (SCOT),2007-2007,2,1, 4.00 ,0,44,0,0,0,11,0,0,0
1179,DK Butler (WI),2006-2006,1,1, 3.00 ,0,22,0,0,0,7.33,0,0,0
1180,J Butler (GUE),2019-2019,9,1, 1.00 ,0,15,0,0,0,15,0,0,0
1181,JD Campbell (WI),2019-2019,2,1, 1.00 ,0,1,0,0,0,1,0,0,0
1182,J Cutinho (CRC),2019-2019,3,1, 0.50 ,0,7,0,0,0,8.4,0,0,0
1183,DAP Darrell (BMUDA),2019-2019,11,1, 2.00 ,0,14,0,0,0,7,0,0,0
1184,BFW de Leede (NL),2018-2019,8,2, 2.00 ,0,27,0,0,0,13.5,0,0,0
1185,N Deonarine (WI),2010-2013,8,4, 9.00 ,0,87,0,0,0,9.66,0,0,0
1186,PC de Silva (SL),2017-2017,2,2, 2.00 ,0,30,0,0,0,15,0,0,0
1187,ST de Silva (SL),2017-2017,3,1, 1.00 ,0,10,0,0,0,10,0,0,0
1188,BJ Diamanti (NZ),2009-2009,1,1, 2.00 ,0,19,0,0,0,9.5,0,0,0
1189,A Djorovic (Serb),2019-2019,2,2, 6.00 ,1,32,0,0,0,5.33,0,0,0
1190,B Dugic (Serb),2019-2019,2,2, 2.30 ,0,22,0,0,0,8.8,0,0,0
1191,F du Plessis (SA/World),2012-2019,44,2, 1.20 ,0,3,0,0,0,2.25,0,0,0
1192,AB Dursak (TKY),2019-2019,4,3, 8.40 ,0,134,0,0,0,15.46,0,0,0
1193,PS Eaglestone (IRE),2010-2010,1,1, 2.00 ,0,16,0,0,0,8,0,0,0
1194,Fahad Tariq (UAE),2016-2016,6,2, 3.00 ,0,26,0,0,0,8.66,0,0,0
1195,Fakhar Zaman (PAK),2017-2019,34,1, 1.00 ,0,12,0,0,0,12,0,0,0
1196,Fazal Niazai (AFG),2019-2019,1,1, 1.00 ,0,13,0,0,0,13,0,0,0
1197,MVT Fernando (SL),2017-2017,1,1, 2.00 ,0,16,0,0,0,8,0,0,0
1198,AJ Finch (AUS),2011-2019,58,2, 2.00 ,0,27,0,0,0,13.5,0,0,0
1199,JA Fitzgerald (GIBR),2019-2019,4,1, 2.00 ,0,22,0,0,0,11,0,0,0
1200,DR Flynn (NZ),2008-2012,5,1, 1.00 ,0,7,0,0,0,7,0,0,0
1201,GF Gomes (Moz),2019-2019,7,1, 2.00 ,0,16,0,0,0,8,0,0,0
1202,MJ Guptill (NZ),2009-2019,83,1, 1.00 ,0,11,0,0,0,11,0,0,0
1203,Hamza Dar (ESP),2019-2019,1,1, 2.00 ,0,22,0,0,0,11,0,0,0
1204,Hasheem Shahzad (MALTA),2019-2019,2,1, 4.00 ,0,32,0,0,0,8,0,0,0
1205,RJ Hatchman (GIBR),2019-2019,1,1, 4.00 ,0,33,0,0,0,8.25,0,0,0
1206,T Henderson (SA),2006-2006,1,1, 4.00 ,0,31,0,0,0,7.75,0,0,0
1207,H Hiri (PNG),2016-2019,5,1, 1.00 ,0,5,0,0,0,5,0,0,0
1208,KC Hodsoll (BMUDA),2008-2008,1,1, 1.00 ,0,8,0,0,0,8,0,0,0
1209,MEK Hussey (AUS),2005-2012,38,1, 1.00 ,0,5,0,0,0,5,0,0,0
1210,EH Hutchinson (USA),2019-2019,2,1, 3.00 ,0,20,0,0,0,6.66,0,0,0
1211,Ibrahim Khan (Saudi),2019-2019,1,1, 2.00 ,0,17,0,0,0,8.5,0,0,0
1212,Ibrahim Nashath (Mald),2019-2019,3,2, 4.00 ,0,48,0,0,0,12,0,0,0
1213,Iftikhar Ahmed (PAK),2016-2019,6,1, 1.00 ,0,7,0,0,0,7,0,0,0
1214,Imran Khan (PORT),2019-2019,4,1, 2.00 ,0,13,0,0,0,6.5,0,0,0
1215,B Ivanov (),2019-2019,3,1, 2.00 ,0,36,0,0,0,18,0,0,0
1216,Jagjit Singh (Peru),2019-2019,4,1, 1.00 ,0,10,0,0,0,10,0,0,0
1217,NA Janes (THAI),2019-2019,2,1, 1.00 ,0,12,0,0,0,12,0,0,0
1218,T Jamtsho (BHU),2019-2019,2,2, 4.10 ,0,48,0,0,0,11.52,0,0,0
1219,Jatinder Singh (OMAN),2015-2019,25,1, 2.00 ,0,17,0,0,0,8.5,0,0,0
1220,Javed Maroofkhail (NOR),2019-2019,2,1, 2.00 ,0,22,0,0,0,11,0,0,0
1221,DPMD Jayawardene (SL),2006-2014,55,1, 1.00 ,0,8,0,0,0,8,0,0,0
1222,P Jayeshbhai Patel (PNM),2019-2019,2,1, 2.00 ,0,21,0,0,0,10.5,0,0,0
1223,Jay Odedra (OMAN),2019-2019,3,3, 7.00 ,0,74,0,0,0,10.57,0,0,0
1224,NG Jones (IRE),2010-2012,5,2, 2.00 ,0,14,0,0,0,7,0,0,0
1225,Kamran Khan (QAT),2019-2019,14,2, 4.10 ,0,48,0,0,0,11.52,0,0,0
1226,TP Kamungozi (ZIM),2014-2014,1,1, 2.00 ,0,17,0,0,0,8.5,0,0,0
1227,G Kansonkho (MWI),2019-2019,6,1, 1.00 ,0,15,0,0,0,15,0,0,0
1228,S Kansoy (TKY),2019-2019,4,1, 1.00 ,0,14,0,0,0,14,0,0,0
1229,M Kartik (INDIA),2007-2007,1,1, 4.00 ,0,27,0,0,0,6.75,0,0,0
1230,Karweng NG (PHI),2019-2019,4,3, 9.00 ,0,81,0,0,0,9,0,0,0
1231,JM Kemp (SA),2005-2007,8,1, 1.00 ,0,5,0,0,0,5,0,0,0
1232,GE Kidd (IRE),2010-2010,1,1, 3.00 ,0,32,0,0,0,10.66,0,0,0
1233,RJ Kirtley (ENG),2007-2007,1,1, 1.00 ,0,17,0,0,0,17,0,0,0
1234,GJP Kruger (SA),2006-2006,1,1, 4.00 ,0,29,0,0,0,7.25,0,0,0
1235,JS Kundi (KENYA),2019-2019,6,2, 2.00 ,0,15,0,0,0,7.5,0,0,0
1236,Kushal Malla (NEPAL),2019-2019,3,2, 4.00 ,0,38,0,0,0,9.5,0,0,0
1237,A Lagos (),2019-2019,1,1, 2.00 ,0,13,0,0,0,6.5,0,0,0
1238,RDM Leverock (BMUDA),2008-2008,2,2, 5.00 ,0,27,0,0,0,5.4,0,0,0
1239,RN Lewis (WI),2008-2008,1,1, 1.00 ,0,9,0,0,0,9,0,0,0
1240,I Lisboa (Chile),2019-2019,1,1, 2.00 ,0,17,0,0,0,8.5,0,0,0
1241,AM McCarthy (WI),2018-2018,1,1, 2.00 ,0,12,0,0,0,6,0,0,0
1242,LD Madushanka (SL),2019-2019,2,1, 4.00 ,0,36,0,0,0,9,0,0,0
1243,Mahedi Hasan (BDESH),2018-2018,1,1, 2.00 ,0,25,0,0,0,12.5,0,0,0
1244,C Mahoney (Peru),2019-2019,3,1, 1.00 ,0,10,0,0,0,10,0,0,0
1245,BF Mailata (Samoa),2019-2019,4,2, 2.00 ,0,24,0,0,0,12,0,0,0
1246,D Manani (ROM),2019-2019,2,2, 4.00 ,0,27,0,0,0,6.75,0,0,0
1247,M Markande (INDIA),2019-2019,1,1, 4.00 ,0,31,0,0,0,7.75,0,0,0
1248,D Marks (MALTA),2019-2019,2,2, 7.00 ,0,54,0,0,0,7.71,0,0,0
1249,S Matsikenyeri (ZIM),2006-2012,10,3, 2.40 ,0,23,0,0,0,8.62,0,0,0
1250,GJ McCarter (IRE),2015-2015,3,2, 5.00 ,0,50,0,0,0,10,0,0,0
1251,A Mehmood (HKG),2016-2016,2,1, 1.00 ,0,12,0,0,0,12,0,0,0
1252,Mehrab Hossain jnr (BDESH),2008-2009,2,1, 2.50 ,0,20,0,0,0,7.05,0,0,0
1253,D Mejia (CRC),2019-2019,3,2, 4.00 ,0,23,0,0,0,5.75,0,0,0
1254,PHKD Mendis (SL),2018-2019,4,3, 5.00 ,0,48,0,0,0,9.6,0,0,0
1255,KO Meth (ZIM),2012-2012,2,2, 7.00 ,0,64,0,0,0,9.14,0,0,0
1256,AJ Michael (Samoa),2019-2019,4,1, 2.00 ,0,18,0,0,0,9,0,0,0
1257,Mihusan Hamid (Mald),2019-2019,1,1, 3.00 ,0,29,0,0,0,9.66,0,0,0
1258,Mohamed Arief (MAL),2019-2019,5,2, 2.00 ,0,19,0,0,0,9.5,0,0,0
