ID,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
553,Aminuddin Ramly (MAL),2019-2019,10,9,2,97,33,13.85,59,164.4,0,0,1,3,9
554,AM Samad (CAN),2008-2010,7,6,0,97,29,16.16,88,110.22,0,0,1,8,4
555,S Samarawickrama (SL),2017-2019,7,7,0,97,32,13.85,93,104.3,0,0,1,9,0
556,AJ Staal (NL),2019-2019,9,8,2,97,28*,16.16,79,122.78,0,0,2,5,5
557,GM Strydom (Caym),2019-2019,6,6,0,97,49,16.16,89,108.98,0,0,2,6,5
558,Zaheer Ibrahim (QAT),2019-2019,13,11,3,97,27*,12.12,89,108.98,0,0,2,7,5
559,Ahmed Raza (UAE),2014-2019,36,14,7,96,22,13.71,123,78.04,0,0,1,2,4
560,RS Morton (WI),2006-2010,7,7,1,96,40,16,103,93.2,0,0,1,8,2
561,Razmal Shigiwal (Aut),2019-2019,4,3,0,96,53,32,78,123.07,0,1,0,3,8
562,ML Udawatte (SL),2008-2017,8,8,0,96,25,12,87,110.34,0,0,2,10,2
563,MH Yardy (ENG),2006-2011,14,8,5,96,35*,32,72,133.33,0,0,3,9,1
564,TM Odoyo (KENYA),2007-2013,11,10,0,95,22,9.5,119,79.83,0,0,1,6,2
565,NS Poonia (SCOT),2007-2010,8,7,2,95,38*,19,108,87.96,0,0,2,3,1
566,Shamsudheen Purat (Saudi),2019-2019,3,3,1,95,88*,47.5,53,179.24,0,1,1,8,7
567,HJ Jordaan (THAI),2019-2019,4,4,1,94,37*,31.33,107,87.85,0,0,0,8,0
568,Mehidy Hasan Miraz (BDESH),2017-2018,13,11,2,94,19*,10.44,80,117.5,0,0,2,7,4
569,JH Stander (SCOT),2009-2012,11,11,2,94,45,10.44,90,104.44,0,0,3,6,4
570,JJ Tucker (BMUDA),2019-2019,5,5,1,94,50*,23.5,97,96.9,0,1,0,11,1
571,P Utseya (ZIM),2006-2015,35,21,9,94,13*,7.83,115,81.73,0,0,3,6,1
572,J Cutinho (CRC),2019-2019,3,3,0,93,46,31,98,94.89,0,0,0,7,4
573,Walid Ghauri (NOR),2019-2019,4,4,1,93,44*,31,80,116.25,0,0,0,10,2
574,JL Denly (ENG),2009-2019,10,9,1,92,30,11.5,93,98.92,0,0,2,11,1
575,MC Sorensen (IRE),2012-2016,26,11,6,92,26,18.4,79,116.45,0,0,1,4,3
576,D Wiese (SA),2013-2016,20,11,4,92,28,13.14,75,122.66,0,0,1,4,3
577,Yasir Arafat (PAK),2007-2012,13,11,4,92,17,13.14,79,116.45,0,0,0,8,2
578,Anwar Arudin (MAL),2019-2019,12,12,0,91,32,7.58,98,92.85,0,0,3,10,2
579,Raees Ahmadzai (AFG),2010-2010,8,6,3,91,33*,30.33,84,108.33,0,0,0,5,1
580,Saeed Ajmal (PAK),2009-2015,64,23,12,91,21*,8.27,86,105.81,0,0,3,7,2
581,CR Woakes (ENG),2011-2015,8,7,4,91,37,30.33,63,144.44,0,0,1,4,5
582,GM Hamilton (SCOT),2007-2010,12,8,0,90,32,11.25,110,81.81,0,0,0,6,1
583,JN Mohammed (WI),2017-2018,9,8,3,90,23*,18,103,87.37,0,0,1,9,1
584,Muhammad Naeem (Saudi),2019-2019,5,4,2,90,42,45,91,98.9,0,0,1,7,1
585,Sagar Pun (NEPAL),2014-2015,9,9,0,90,20,10,100,90,0,0,0,13,0
586,DLS van Bunge (NL),2008-2013,14,12,4,90,24,11.25,104,86.53,0,0,2,2,3
587,GH Worker (NZ),2015-2015,2,2,0,90,62,45,64,140.62,0,1,0,6,5
588,S Adedeji (NGA),2019-2019,6,6,2,89,51*,22.25,114,78.07,0,1,1,5,2
589,Mohammad Nadeem (OMAN),2015-2019,22,13,3,89,29,8.9,106,83.96,0,0,1,7,0
590,A Otwani (UGA),2019-2019,4,4,0,89,44,22.25,78,114.1,0,0,0,13,1
591,A Ferguson (Arg),2019-2019,5,3,1,88,51,44,100,88,0,1,0,5,1
592,N Madziva (ZIM),2015-2019,15,10,5,88,28*,17.6,80,110,0,0,1,4,5
593,Md Shafiqul Haque (THAI),2019-2019,4,4,0,88,38,22,62,141.93,0,0,0,5,6
594,Zishan Shah (DEN),2019-2019,6,5,1,88,50,22,87,101.14,0,1,0,7,1
595,PS Airee (NEPAL),2015-2019,11,11,0,87,29,7.9,93,93.54,0,0,4,10,1
596,SC Getkate (IRE),2019-2019,14,12,2,87,24,8.7,73,119.17,0,0,1,4,4
597,Mandeep Singh (INDIA),2016-2016,3,3,1,87,52*,43.5,73,119.17,0,1,0,11,1
598,D Pretorius (SA),2017-2019,6,2,2,87,77*,-,49,177.55,0,1,0,7,4
599,Raza Iqbal (NOR),2019-2019,5,5,0,87,39,17.4,89,97.75,0,0,0,13,0
600,DI Allan (KENYA),2012-2013,10,10,0,86,18,8.6,135,63.7,0,0,0,7,0
601,AR Gandhi (KENYA),2019-2019,3,3,1,86,50,43,98,87.75,0,1,0,5,1
602,GJ Hopkins (NZ),2007-2010,10,8,0,86,36,10.75,71,121.12,0,0,0,5,5
603,SM Pollock (SA),2005-2008,12,9,2,86,36*,12.28,70,122.85,0,0,3,4,4
604,Shamsur Rahman (BDESH),2013-2014,9,8,0,86,53,10.75,85,101.17,0,1,2,12,1
605,DP Michael (Samoa),2019-2019,4,4,1,85,55*,28.33,82,103.65,0,1,1,1,6
606,AR Nurse (WI),2011-2019,13,8,6,85,20*,42.5,71,119.71,0,0,0,7,3
607,MD Patel (USA),2019-2019,8,8,1,85,26,12.14,88,96.59,0,0,0,6,4
608,RML Taylor (SCOT),2013-2016,9,6,3,85,41*,28.33,58,146.55,0,0,0,6,4
609,N Khosla (MALTA),2019-2019,4,4,0,84,27,21,95,88.42,0,0,0,3,2
610,IO Okpe (NGA),2019-2019,8,8,0,84,19,10.5,109,77.06,0,0,0,2,2
611,Afif Hossain (BDESH),2018-2019,8,7,0,83,52,11.85,63,131.74,0,1,2,10,1
612,JH Davey (SCOT),2012-2019,21,10,5,83,24,16.6,63,131.74,0,0,0,5,3
613,PF Gallagher (Fin),2019-2019,3,3,0,83,36,27.66,68,122.05,0,0,0,4,5
614,JK Kamande (KENYA),2007-2010,12,9,0,83,42,9.22,92,90.21,0,0,2,5,3
615,Manpreet Singh (ITA),2019-2019,8,6,0,83,36,13.83,98,84.69,0,0,0,10,1
616,AC Agar (AUS),2016-2019,21,7,1,82,29,13.66,79,103.79,0,0,0,6,3
617,FA Cossa (Moz),2019-2019,6,6,2,82,19*,20.5,90,91.11,0,0,0,6,4
618,AS Hansra (CAN),2012-2013,8,8,2,82,30,13.66,85,96.47,0,0,0,4,3
619,AK Mohan (Fin),2019-2019,5,5,0,82,41,16.4,72,113.88,0,0,1,9,1
620,Muhammad Awais (),2019-2019,3,3,2,82,42*,82,59,138.98,0,0,0,12,1
621,TD Paine (AUS/World),2009-2017,12,9,1,82,25,10.25,77,106.49,0,0,2,7,3
622,Shaikh Ashraf (Peru),2019-2019,4,4,0,82,38,20.5,67,122.38,0,0,0,8,3
623,RM Siri (Arg),2019-2019,4,4,1,82,49*,27.33,80,102.5,0,0,1,6,1
624,Aaron Jones (USA),2019-2019,8,7,3,81,39,20.25,81,100,0,0,0,3,2
625,MO Jones (BMUDA),2019-2019,8,7,2,81,27,16.2,83,97.59,0,0,0,5,3
626,Ahsan Abbasi (HKG),2019-2019,6,6,0,80,18,13.33,87,91.95,0,0,0,7,2
627,DAP Darrell (BMUDA),2019-2019,11,10,1,80,30*,8.88,95,84.21,0,0,1,1,5
628,Faizan Asif (UAE),2014-2015,6,6,0,80,28,13.33,64,125,0,0,0,9,3
629,Ijaz Hussain (ROM),2019-2019,3,3,0,80,40,26.66,76,105.26,0,0,0,7,6
630,RK Paudel (NEPAL),2019-2019,11,10,2,80,19,10,89,89.88,0,0,0,7,0
631,CP Rizwan (UAE),2019-2019,5,4,0,80,44,20,73,109.58,0,0,0,10,1
632,ZE Green (NAM),2019-2019,16,11,3,79,18*,9.87,78,101.28,0,0,1,4,3
633,CD Barnwell (WI),2011-2013,6,6,2,78,34*,19.5,62,125.8,0,0,1,4,4
634,Nurul Hasan (BDESH),2016-2017,9,8,4,78,30*,19.5,63,123.8,0,0,1,9,0
635,GG Banner (Blz),2019-2019,3,3,1,77,47,38.5,65,118.46,0,0,0,1,8
636,Sandeep Goud (OMAN),2019-2019,12,7,3,77,31*,19.25,72,106.94,0,0,0,3,3
637,Shahid Wasif (HKG),2016-2019,9,8,3,77,40,15.4,66,116.66,0,0,1,3,1
638,SA Wijeyeratne (CAN),2019-2019,2,2,0,77,56,38.5,51,150.98,0,1,0,12,0
639,T Bavuma (SA),2019-2019,2,2,1,76,49,76,66,115.15,0,0,0,5,2
640,A Flintoff (ENG),2005-2007,7,7,1,76,31,12.66,60,126.66,0,0,1,7,2
641,DR Hooper (GUE),2019-2019,9,8,3,76,19*,15.2,91,83.51,0,0,1,3,1
642,Imran Farhat (PAK),2010-2011,7,7,0,76,19,10.85,70,108.57,0,0,1,14,0
643,Irfan Ahmed (HKG),2014-2015,8,8,0,76,34,9.5,83,91.56,0,0,2,4,6
644,HB Kayondo (UGA),2019-2019,3,3,0,76,31,25.33,69,110.14,0,0,0,2,4
645,NFI McCallum (SCOT),2007-2010,11,7,0,76,38,10.85,85,89.41,0,0,3,7,1
646,S Matsikenyeri (ZIM),2006-2012,10,10,0,76,32,7.6,82,92.68,0,0,2,6,3
647,Rizwan Mahmood (DEN),2019-2019,5,4,0,76,37,19,61,124.59,0,0,0,3,3
648,VS Solanki (ENG),2005-2007,3,3,0,76,43,25.33,61,124.59,0,0,0,10,1
649,NR Kirton (CAN),2019-2019,5,5,2,75,37*,25,83,90.36,0,0,0,4,1
650,NJ Astle (NZ),2005-2006,4,4,1,74,40*,24.66,67,110.44,0,0,0,7,2
651,Hirenkumar Patel (Chile),2019-2019,4,4,0,74,22,18.5,82,90.24,0,0,0,9,1
652,S Hirugade (Mex),2019-2019,6,6,0,74,35,12.33,86,86.04,0,0,1,8,2
653,KO Otieno (KENYA),2008-2008,4,4,0,74,40,18.5,79,93.67,0,0,0,5,2
654,SI Runsewe (NGA),2019-2019,6,6,1,74,27,14.8,87,85.05,0,0,1,4,0
655,G Venkateswaran (LUX),2019-2019,3,3,1,74,59,37,58,127.58,0,1,0,10,1
656,J Vira (VAN),2019-2019,14,12,4,74,23,9.25,68,108.82,0,0,1,7,2
657,NT Broom (NZ),2009-2017,11,7,1,73,36,12.16,68,107.35,0,0,0,8,1
658,TS Fray (BMUDA),2019-2019,10,10,1,73,29,8.11,96,76.04,0,0,3,9,0
659,Khurram Khan (UAE),2014-2014,3,3,0,73,31,24.33,73,100,0,0,0,8,0
660,AR McBrine (IRE),2014-2017,19,11,5,73,14*,12.16,70,104.28,0,0,1,6,1
661,C Munoz-Mills (ESP),2019-2019,9,7,3,73,29*,18.25,66,110.6,0,0,0,5,3
662,AM Oyede (NGA),2019-2019,8,8,1,73,39,10.42,104,70.19,0,0,2,5,1
663,AL Phehlukwayo (SA),2017-2019,23,11,5,73,27*,12.16,66,110.6,0,0,3,10,1
664,AJ Strauss (ENG),2005-2009,4,4,0,73,33,18.25,64,114.06,0,0,1,9,0
665,RA Thomas (CAN),2019-2019,8,8,1,73,18,10.42,95,76.84,0,0,1,7,1
666,Farhad Reza (BDESH),2006-2014,13,9,0,72,19,8,88,81.81,0,0,1,4,2
667,Haroon Mughal (MALTA),2019-2019,4,4,0,72,31,18,65,110.76,0,0,0,6,1
668,Hassan Rasheed (Mald),2019-2019,8,7,0,72,22,10.28,100,72,0,0,0,4,1
669,A Pusthay (Fin),2019-2019,5,5,0,72,37,14.4,60,120,0,0,0,5,1
670,AS Wright (GUE),2019-2019,8,7,0,72,43,10.28,84,85.71,0,0,1,6,3
671,Sahir Naqash (GER),2019-2019,7,5,1,71,38*,17.75,52,136.53,0,0,2,2,5
672,T Taylor (Caym),2019-2019,6,6,2,71,19*,17.75,91,78.02,0,0,0,2,5
673,Abdul Hashmi (DEN),2019-2019,8,5,1,70,31,17.5,66,106.06,0,0,1,4,0
674,Awais Zia (PAK),2012-2014,5,5,0,70,23,14,80,87.5,0,0,0,4,3
675,FF Mulivai (Samoa),2019-2019,4,4,0,70,48,17.5,37,189.18,0,0,1,2,8
676,Hafez Farooq (Peru),2019-2019,4,4,0,69,24,17.25,68,101.47,0,0,0,7,2
677,C Hauptfleisch (Caym),2019-2019,5,5,0,69,42,13.8,85,81.17,0,0,1,4,2
678,Ibrarul Haq (Saudi),2019-2019,5,4,0,69,49,17.25,47,146.8,0,0,1,6,4
679,SM Katich (AUS),2005-2006,3,2,0,69,39,34.5,47,146.8,0,0,0,8,2
680,TB Sole (SCOT),2019-2019,9,6,2,69,33*,17.25,43,160.46,0,0,0,9,1
681,J Umanath (Mex),2019-2019,7,7,1,69,25,11.5,77,89.61,0,0,1,7,2
682,R Ankad (Mex),2019-2019,8,7,3,68,40*,17,72,94.44,0,0,2,7,0
683,AG Cremer (ZIM),2008-2018,29,19,6,68,17,5.23,102,66.66,0,0,2,2,0
684,Dawlat Zadran (AFG),2012-2019,34,17,8,68,13,7.55,42,161.9,0,0,3,4,6
685,TM Dowlin (WI),2009-2010,2,2,1,68,37*,68,69,98.55,0,0,0,8,0
686,R Escobar (Arg),2019-2019,5,4,1,68,28*,22.66,76,89.47,0,0,0,6,1
687,AR Patel (INDIA),2015-2018,11,7,3,68,20*,17,54,125.92,0,0,0,3,3
688,Sikander Zulfiqar (NL),2016-2019,11,8,1,68,18,9.71,68,100,0,0,0,5,0
689,JNT Vare (PNG),2015-2017,8,7,0,68,38,9.71,71,95.77,0,0,0,4,0
690,C Viljoen (NAM),2019-2019,12,7,3,68,33,17,70,97.14,0,0,0,7,1
691,Waqas Khan (HKG),2014-2017,8,7,3,68,33*,17,89,76.4,0,0,1,3,2
692,Hilal Ahmad (CZK-R),2019-2019,7,7,2,67,30,13.4,59,113.55,0,0,0,6,1
693,AJ Michael (Samoa),2019-2019,4,4,1,67,23,22.33,69,97.1,0,0,0,5,2
694,Zawar Farid (UAE),2019-2019,4,4,0,67,55,16.75,53,126.41,0,1,0,5,3
695,Abraash Khan (CAN),2019-2019,7,4,0,66,22,16.5,60,110,0,0,0,7,1
696,PHKD Mendis (SL),2018-2019,4,4,0,66,41,16.5,46,143.47,0,0,1,6,3
697,Waheed Ahmed (UAE),2019-2019,10,9,4,66,19,13.2,80,82.5,0,0,0,6,2
698,J Bulele (Moz),2019-2019,7,7,0,65,24,9.28,95,68.42,0,0,1,8,0
699,SC Kuggeleijn (NZ),2019-2019,9,5,3,65,35*,32.5,30,216.66,0,0,1,4,6
700,H Lakov (),2019-2019,3,3,0,65,28,21.66,62,104.83,0,0,0,5,0
701,Shoaib Khan jnr (PAK),2008-2008,4,4,0,65,50,16.25,74,87.83,0,1,1,7,0
702,FA Allen (WI),2018-2019,11,9,2,64,27,9.14,56,114.28,0,0,2,5,3
703,Anique Uddin (DEN),2019-2019,6,6,0,64,31,10.66,79,81.01,0,0,0,3,0
704,Ansar Iqbal (NOR),2019-2019,4,4,0,64,40,16,72,88.88,0,0,0,6,1
705,B Arora (MALTA),2019-2019,4,4,0,64,28,16,64,100,0,0,0,5,3
706,K Birkenstock (NAM),2019-2019,4,2,0,64,59,32,33,193.93,0,1,0,7,4
707,S Dube (INDIA),2019-2019,6,4,2,64,54,32,42,152.38,0,1,0,3,4
708,RM Haq (SCOT),2007-2013,21,12,7,64,21*,12.8,96,66.66,0,0,1,2,1
709,DP Hyatt (WI),2011-2012,5,5,1,64,28,16,54,118.51,0,0,0,4,4
710,G Manan (ROM),2019-2019,3,3,0,64,29,21.33,52,123.07,0,0,0,11,1
711,A Natubhai Ahir (PNM),2019-2019,3,3,0,64,30,21.33,59,108.47,0,0,0,10,1
712,WB Rankin (ENG/IRE),2009-2019,48,15,8,64,16*,9.14,74,86.48,0,0,2,3,3
713,DJ Reekers (NL),2008-2009,6,5,0,64,29,12.8,49,130.61,0,0,1,10,2
714,Sadeeq Khan (ROM),2019-2019,3,3,1,64,28,32,42,152.38,0,0,0,3,6
715,Usman Waheed (KUW),2019-2019,6,4,1,64,28*,21.33,61,104.91,0,0,1,6,1
716,V Balakrishnan (Botsw),2019-2019,3,3,1,63,29*,31.5,82,76.82,0,0,0,6,1
717,LJ Barker (GUE),2019-2019,9,8,0,63,20,7.87,69,91.3,0,0,3,8,0
718,Imran Ismail (Moz),2019-2019,7,7,0,63,17,9,58,108.62,0,0,0,7,3
719,Kuldeep Lal (ESP),2019-2019,8,3,0,63,38,21,41,153.65,0,0,0,3,2
720,AN Cook (ENG),2007-2009,4,4,0,61,26,15.25,54,112.96,0,0,0,10,0
721,OD Hald (DEN),2019-2019,9,8,1,61,18,8.71,57,107.01,0,0,1,4,2
722,Hasan Ali (PAK),2016-2019,30,10,5,61,23,12.2,35,174.28,0,0,2,3,5
723,PD McGlashan (NZ),2006-2010,11,9,1,61,26,7.62,64,95.31,0,0,0,6,2
724,R Nehonde (Botsw),2019-2019,7,7,1,61,26,10.16,79,77.21,0,0,1,3,1
725,NM Odhiambo (KENYA),2010-2019,16,8,2,61,26,10.16,94,64.89,0,0,2,4,1
726,A Sathya (Mex),2019-2019,3,3,0,61,30,20.33,61,100,0,0,0,3,2
727,PH Shamdasani (Peru),2019-2019,4,4,1,61,37,20.33,72,84.72,0,0,0,3,1
728,AJ Tye (AUS),2016-2018,26,11,5,61,20,10.16,55,110.9,0,0,2,4,3
729,DE Budge (SCOT),2018-2018,6,4,2,60,24,30,59,101.69,0,0,0,2,3
730,JWM Dalrymple (ENG),2006-2007,3,3,0,60,32,20,57,105.26,0,0,0,6,0
731,LM Jongwe (ZIM),2015-2016,8,7,0,60,34,8.57,65,92.3,0,0,2,4,1
732,J Kila (PNG),2019-2019,12,5,3,60,27*,30,31,193.54,0,0,0,4,5
733,Mohammad Adnan (Saudi),2019-2019,5,3,3,60,38*,-,31,193.54,0,0,0,4,5
734,Mominul Haque (BDESH),2012-2014,6,4,1,60,26*,20,50,120,0,0,0,5,2
735,P Mustard (ENG),2008-2008,2,2,0,60,40,30,37,162.16,0,0,0,5,4
736,Zameer Khan (DEN),2019-2019,2,2,1,60,33,60,61,98.36,0,0,0,4,0
737,Zeeshan Siddiqui (OMAN),2015-2015,5,5,1,60,33*,15,63,95.23,0,0,0,7,0
738,Ariful Haque (BDESH),2018-2018,9,8,4,59,18*,14.75,61,96.72,0,0,1,4,0
739,DR Flynn (NZ),2008-2012,5,5,0,59,23,11.8,51,115.68,0,0,0,1,4
740,Hayatullah Niazi (NOR),2019-2019,4,4,1,59,27,19.66,47,125.53,0,0,0,3,3
741,Mohammad Amir (PAK),2009-2019,48,14,6,59,21*,7.37,72,81.94,0,0,2,2,3
742,Muhammad Saleem (),2019-2019,4,4,0,59,52,14.75,54,109.25,0,1,0,5,1
743,AK Perera (SL),2013-2019,6,5,0,59,16,11.8,65,90.76,0,0,0,5,1
744,IS Sodhi (NZ),2014-2019,40,7,3,59,15,14.75,56,105.35,0,0,1,4,3
745,Aamer Ikram (PORT),2019-2019,4,4,0,58,23,14.5,73,79.45,0,0,0,4,4
746,Abu Hider (BDESH),2016-2018,13,5,4,58,22*,58,43,134.88,0,0,0,5,4
747,D Heyliger (CAN),2019-2019,11,7,5,58,23*,29,42,138.09,0,0,1,2,3
748,JJ Huo (Moz),2019-2019,7,7,0,58,18,8.28,61,95.08,0,0,1,7,2
749,DF Jacobs (THAI),2019-2019,4,4,0,58,20,14.5,82,70.73,0,0,0,7,0
750,K Mendon (CZK-R),2019-2019,6,4,4,58,39*,-,51,113.72,0,0,0,5,2
751,Mohamed Azzam (Mald),2019-2019,7,6,2,58,17*,14.5,61,95.08,0,0,1,6,0
752,Shaheryar Butt (Belg),2019-2019,3,3,1,58,30*,29,55,105.45,0,0,0,3,4
753,CJO Smith (SCOT),2007-2009,8,6,1,58,46*,11.6,54,107.4,0,0,3,6,0
754,Alok Kapali (BDESH),2007-2011,7,7,2,57,19,11.4,85,67.05,0,0,2,3,1
755,Fayyaz Butt (OMAN),2019-2019,14,6,4,57,25*,28.5,48,118.75,0,0,0,4,2
756,C Jonker (SA),2018-2018,2,2,0,57,49,28.5,29,196.55,0,0,0,5,3
757,A Makesh (KUW),2019-2019,4,2,1,57,57,57,41,139.02,0,1,0,3,4
758,GP Meade (ITA),2019-2019,8,5,0,57,18,11.4,63,90.47,0,0,0,4,1
759,A Sarma (GER),2019-2019,3,3,0,57,28,19,67,85.07,0,0,0,3,1
760,P Sarraf (NEPAL),2019-2019,9,8,1,57,18,8.14,84,67.85,0,0,3,9,0
761,Sohag Gazi (BDESH),2012-2015,10,7,3,57,24,14.25,59,96.61,0,0,0,3,1
762,AJ Turner (AUS),2017-2019,11,7,3,57,22*,14.25,57,100,0,0,1,1,2
763,Amjad Sher (Fin),2019-2019,5,5,0,56,24,11.2,36,155.55,0,0,0,1,4
764,T Banton (ENG),2019-2019,3,3,0,56,31,18.66,34,164.7,0,0,0,6,3
765,JM How (NZ),2007-2008,5,5,0,56,31,11.2,67,83.58,0,0,0,5,1
766,EB Knowles (CZK-R),2019-2019,7,6,2,56,19,14,54,103.7,0,0,1,7,1
767,P Manning (Caym),2019-2019,6,6,1,56,28,11.2,89,62.92,0,0,1,4,0
768,MJ Ross (ITA),2019-2019,8,5,1,56,34,14,42,133.33,0,0,0,2,3
769,SMSM Senanayake (SL),2012-2016,24,12,6,56,17,9.33,66,84.84,0,0,2,3,1
770,D Ajekun (NGA),2019-2019,6,6,0,55,17,9.16,81,67.9,0,0,0,6,1
771,MNM Aslam (KUW),2019-2019,6,4,0,55,26,13.75,59,93.22,0,0,1,4,1
772,C Carter (HKG),2015-2017,10,5,1,55,17,13.75,63,87.3,0,0,0,3,0
773,N Deonarine (WI),2010-2013,8,7,2,55,36*,11,53,103.77,0,0,3,5,0
774,PWH de Silva (SL),2019-2019,8,7,3,55,14*,13.75,50,110,0,0,0,3,0
775,GB Hogg (AUS),2006-2014,15,4,0,55,41,13.75,39,141.02,0,0,0,3,3
776,KM Jarvis (ZIM),2011-2019,22,12,5,55,27,7.85,64,85.93,0,0,4,1,4
777,Mirza Ahsan (Aut),2019-2019,5,3,2,55,51*,55,18,305.55,0,1,0,2,7
778,OE Newey (GUE),2019-2019,7,6,1,55,23*,11,66,83.33,0,0,1,2,0
779,R Satheesan (ROM),2019-2019,4,3,1,55,23,27.5,42,130.95,0,0,0,3,4
780,HS Baidwan (CAN),2008-2013,17,11,2,54,21,6,52,103.84,0,0,4,4,1
781,JW Chilia (VAN),2019-2019,14,7,4,54,23,18,54,100,0,0,0,3,3
782,M Dixit (LUX),2019-2019,3,2,0,54,38,27,59,91.52,0,0,0,6,2
783,GD Drummond (SCOT),2008-2013,17,7,0,54,35,7.71,65,83.07,0,0,2,3,0
784,JSE Dunford (JER),2019-2019,17,9,3,54,29,9,67,80.59,0,0,3,2,0
785,MSS Mandy (Chile),2019-2019,4,4,0,54,32,13.5,67,80.59,0,0,0,8,0
786,SMA Priyanjan (SL),2017-2017,3,3,2,54,40*,54,62,87.09,0,0,0,1,2
787,BA King (WI),2019-2019,6,5,0,53,31,10.6,50,106,0,0,0,6,1
788,Usman Limbada (CAN),2010-2013,7,3,2,53,21*,53,41,129.26,0,0,0,6,0
789,MRJ Watt (SCOT),2015-2019,35,11,6,53,14*,10.6,40,132.5,0,0,1,6,1
790,TS Bharaj (DEN),2019-2019,9,8,0,52,19,6.5,77,67.53,0,0,1,2,0
791,G Caisley (),2019-2019,4,4,0,52,38,13,60,86.66,0,0,1,3,2
792,SJ Cotter (Samoa),2019-2019,4,4,0,52,25,13,62,83.87,0,0,0,4,1
793,RP Magar (NEPAL),2014-2015,6,6,0,52,25,8.66,89,58.42,0,0,1,0,3
794,A Manousis (),2019-2019,3,3,1,52,23,26,49,106.12,0,0,0,5,1
795,DM Nakrani (UGA),2019-2019,4,4,1,52,19,17.33,48,108.33,0,0,0,2,3
796,Ovais Yousof (NGA),2019-2019,3,3,0,52,33,17.33,70,74.28,0,0,0,5,0
797,IS Billcliff (CAN),2010-2010,2,2,0,51,37,25.5,39,130.76,0,0,0,3,2
798,TGJ Gruijters (NL),2012-2013,8,5,3,51,21*,25.5,47,108.51,0,0,0,3,1
799,V Mbazo (Botsw),2019-2019,4,3,1,51,27*,25.5,67,76.11,0,0,0,3,0
800,Raqibul Hasan (BDESH),2008-2010,5,5,0,51,18,10.2,62,82.25,0,0,0,3,1
801,AU Rashid (ENG),2009-2019,40,15,8,51,9*,7.28,61,83.6,0,0,0,4,0
802,HA Varaiya (KENYA),2007-2013,25,12,11,51,18*,51,81,62.96,0,0,0,1,0
803,Hamid Hassan (AFG),2010-2016,22,9,6,50,22,16.66,46,108.69,0,0,0,3,2
804,Md Nurul Huda (Fin),2019-2019,5,4,2,50,30*,25,32,156.25,0,0,0,4,2
805,Mohammad Yousuf (PAK),2006-2010,3,3,0,50,26,16.66,43,116.27,0,0,0,5,1
806,MJ Richardson (GER),2019-2019,3,3,2,50,35*,50,38,131.57,0,0,0,7,0
807,Ameel Mauroof (Mald),2019-2019,10,8,4,49,15*,12.25,63,77.77,0,0,0,3,0
808,U Bhatti (CAN),2008-2010,7,7,3,49,12,12.25,48,102.08,0,0,0,3,1
809,G Chaturvedi (MALTA),2019-2019,2,2,0,49,25,24.5,29,168.96,0,0,0,6,1
810,A Dananjaya (SL),2012-2019,22,12,4,49,11*,6.12,57,85.96,0,0,2,6,0
811,JN Frylinck (NAM),2019-2019,14,7,4,49,19*,16.33,47,104.25,0,0,1,2,1
812,CU Jayasinghe (SL),2009-2010,5,3,2,49,38,49,49,100,0,0,0,3,1
813,Junaid Siddiqui (CAN),2012-2019,13,7,3,49,21,12.25,41,119.51,0,0,1,2,2
814,HG Kuhn (SA),2009-2017,7,6,2,49,29,12.25,42,116.66,0,0,0,3,2
815,Nanda Kumar (CRC),2019-2019,3,3,0,49,39,16.33,58,84.48,0,0,1,3,2
816,SD Outerbridge (BMUDA),2008-2008,3,3,1,49,37*,24.5,51,96.07,0,0,0,2,1
817,DA Rankin (IRE),2015-2016,2,2,0,49,34,24.5,54,90.74,0,0,0,3,2
818,Saber Zakhil (Belg),2019-2019,3,3,0,49,18,16.33,35,140,0,0,0,2,3
819,DC Smith (PHI),2019-2019,4,4,1,49,22,16.33,53,92.45,0,0,0,5,0
820,K Weeraratne (SL),2008-2009,5,5,2,49,20*,16.33,45,108.88,0,0,0,4,1
821,S Jamil (Belg),2019-2019,3,3,0,48,24,16,49,97.95,0,0,0,5,2
822,Muhammad Nadeem (Saudi),2019-2019,5,3,0,48,43,16,49,97.95,0,0,0,7,1
823,MIA Patel (MWI),2019-2019,3,2,1,48,40*,48,44,109.09,0,0,0,6,1
824,Qalandar Khan (QAT),2019-2019,4,3,0,48,25,16,43,111.62,0,0,0,2,3
825,YSD Seneveratne (Caym),2019-2019,6,6,0,48,19,8,79,60.75,0,0,1,5,1
826,J Singye (BHU),2019-2019,2,2,0,48,40,24,64,75,0,0,0,2,0
827,C Zhuwao (ZIM),2008-2018,7,7,0,48,24,6.85,66,72.72,0,0,4,7,1
828,M Aboagye (Ghana),2019-2019,3,3,1,47,24,23.5,53,88.67,0,0,0,3,0
829,VD Adewoye (NGA),2019-2019,7,6,2,47,23*,11.75,42,111.9,0,0,2,4,2
830,Delawar Khan (DEN),2019-2019,9,8,1,47,17,6.71,40,117.5,0,0,2,0,4
831,D Weston (GER),2019-2019,6,6,0,47,18,7.83,54,87.03,0,0,2,5,1
832,SA Ahmad (DEN),2019-2019,5,3,1,46,25,23,54,85.18,0,0,0,2,0
833,KM Dabengwa (ZIM),2006-2010,8,7,3,46,16*,11.5,40,115,0,0,0,4,2
